gene_id	gene_name	gene_type	baseMean	log2FoldChangeShrunken	pvalue	padj	Healthy:HC1_BND	Healthy:HC1_MN	Healthy:HC2_BND	Healthy:HC2_MN	Healthy:HC3_BND	Healthy:HC3_MN	Healthy:HC4_BND	Healthy:HC4_MN	Diseased:S1_BND	Diseased:S1_MN	Diseased:S2_BND	Diseased:S2_MN	Diseased:S3_BND	Diseased:S3_MN	Diseased:S4_BND	Diseased:S4_MN
ENSG00000137959.15	IFI44L	protein_coding	11574.31	-4.49	4.50E-131	1.20E-126	962.75	702.44	1244.5	1096.35	762.7	1115.48	664.12	608.97	26968.86	27239.49	25191.71	17177.48	17605.4	22437.25	18312.5	23099.03
ENSG00000137965.10	IFI44	protein_coding	1897.99	-3.9	9.50E-73	8.50E-69	192.96	133.33	252.26	252.7	142.95	274.12	173.86	278.62	3764.83	3600.92	4169.03	2351.54	2194.25	3209.96	3582.8	5793.64
ENSG00000185885.15	IFITM1	protein_coding	1813.61	-3.65	1.40E-44	6.40E-41	327.42	196.86	249.3	168.13	160.47	302.6	183.58	226.89	2103.02	2179.65	6200.57	3957.21	2371.44	4440.19	1634.84	4315.6
ENSG00000126709.14	IFI6	protein_coding	7999.18	-3.64	9.70E-42	3.70E-38	872.43	848.3	815.16	1005.82	856.76	1105.99	1150.06	1336.83	8543.55	8614.04	27599.78	13629.28	7925	10761.86	12887.07	30035.04
ENSG00000185507.19	IRF7	protein_coding	10502.55	-1.98	5.50E-40	1.80E-36	4442.18	5147.95	4234.07	4328.71	5009.63	3398.65	3696.4	2978.6	16805.13	14258.74	20978.29	21406.95	16239.27	14002.68	14654.75	16458.85
ENSG00000187608.8	ISG15	protein_coding	6427.97	-2.94	2.20E-28	4.50E-25	1788.98	2194.12	996.19	919.27	823.56	1113.11	1205.14	1395.82	12263.09	10097.06	21980.46	8114.51	6724.13	10458.16	6358.14	16415.84
ENSG00000157601.13	MX1	protein_coding	13621.84	-2.07	5.50E-27	1.10E-23	5423.41	5482.61	5704.12	5783.22	5349.94	5286.66	3722.32	3511.34	36524.83	27035.28	17390.52	16408.83	16543.16	19004.79	19748.09	25030.25
ENSG00000142089.15	IFITM3	protein_coding	1112.25	-2.12	2.00E-23	3.30E-20	552.19	674.7	315.58	356.17	216.73	407.03	268.89	390.25	1859.04	1499.49	2234.84	1527.17	1484.56	1978.11	1539.96	2491.38
ENSG00000119917.13	IFIT3	protein_coding	3648.52	-3.3	5.20E-20	6.60E-17	318.18	289.03	798.34	799.88	621.59	657.42	141.46	261.38	14775.9	14416.02	2690.11	3721.68	4802.56	5188.88	3294.35	5599.57
ENSG00000165949.12	IFI27	protein_coding	1238.79	-4.43	7.30E-18	8.60E-15	0	0.89	1.98	0	1.84	0	10.8	0.91	1166.56	725.45	2021.52	880.08	672.96	807.97	3580.9	9948.74
ENSG00000185745.9	IFIT1	protein_coding	731.16	-3	1.30E-13	8.60E-11	49.27	34	244.35	227.83	65.48	135.28	27	71.7	3357.96	2377.28	420.91	469.8	784.97	933.02	884.31	1615.46
